X_world,Y_world,R_world
-1.199703988605644511e+01,3.560107273045427405e+02,6.849387728989139168e-01
-1.256294308438204155e+01,4.347548942028717534e+02,5.532197781106612533e-01
-1.195567687662060585e+01,4.328964416481688886e+02,4.566258485992759630e-01
-1.081852280268722488e+01,4.501182317331623608e+02,4.478445822800590781e-01
-1.210008530072287591e+01,4.754771043719675845e+02,4.390633159608422487e-01
-1.167544910034389893e+01,5.086926705265573787e+02,4.390633159608422487e-01
-1.319185226577839387e+01,5.019960238614467585e+02,2.370941906188548109e-01
-1.328888830158607881e+01,5.323322596304014951e+02,4.215007833224085898e-01
-1.169595320363417379e+01,5.301423263086147699e+02,4.127195170031917049e-01
-8.537397781391515394e+00,5.340751709253494255e+02,4.039382506839748754e-01
-1.327926048474015452e+01,5.348549743443564921e+02,3.863757180455411611e-01
-1.084914665932472921e+01,5.417546981551961380e+02,3.336881201302401290e-01
-9.704087314004476994e+00,5.399780354178298012e+02,4.478445822800590781e-01
-1.098278618176620469e+01,5.349680226868690625e+02,3.336881201302401290e-01
-1.196470652959682823e+01,5.197335718123106290e+02,4.127195170031917049e-01
-8.730816675712858910e+00,5.421575098942946624e+02,3.073443211725895852e-01
-1.058800826877491552e+01,5.298075524393955220e+02,2.634379895765053270e-01
-1.138006015225189849e+01,5.550572140750346080e+02,3.336881201302401290e-01
-1.116779717410694062e+01,5.477447613378386677e+02,3.073443211725895852e-01
-1.183884093960703154e+01,5.651632004616151335e+02,3.073443211725895852e-01
-1.276467110491337387e+01,5.466468652949461102e+02,2.810005222149390414e-01
-9.313100343271992543e+00,5.568215823123722430e+02,2.985630548533727557e-01
-1.020359770583999826e+01,5.613378177490880034e+02,2.458754569380716681e-01
-1.029537090788473108e+01,5.653323175573482331e+02,2.458754569380716681e-01
-1.247041478192527642e+01,5.485257299936774871e+02,3.249068538110232440e-01
-1.072762417115535705e+01,5.445840862951511099e+02,3.161255874918064146e-01
-1.103553534715519291e+01,5.668729660011199485e+02,2.634379895765053270e-01
-9.804735977035770489e+00,5.506902719953951646e+02,2.370941906188548109e-01
-9.822985590521852828e+00,5.704485702632465518e+02,1.844065927035537511e-01
-1.281949905860735583e+01,5.508623300479737281e+02,1.492815274266863779e-01
-1.155422839733222062e+01,5.623373156352924980e+02,2.019691253419874377e-01
-9.899075211124955587e+00,5.679132129719646400e+02,1.668440600651200645e-01
-1.174240541274043181e+01,5.442944348711912426e+02,2.107503916612042949e-01
-9.235594000596995201e+00,5.450445540047240911e+02,2.283129242996379815e-01
-1.283955791274308389e+01,5.461111988117793317e+02,1.931878590227705805e-01
-1.027336868952707682e+01,5.693403177923290741e+02,1.668440600651200645e-01
-1.076866118068326017e+01,5.784697051194326605e+02,3.424693864494569584e-01
-1.135704726619669813e+01,5.913002442809017793e+02,3.424693864494569584e-01
-1.029151644832102086e+01,5.799568592084789316e+02,2.985630548533727557e-01
-1.170752145946623379e+01,5.808421230822859798e+02,2.546567232572884976e-01
-1.274761899199343240e+01,5.736653345952197469e+02,2.546567232572884976e-01
-1.154449548145999671e+01,5.751913980710600072e+02,3.424693864494569584e-01
-8.639725005153531256e+00,5.914183035337725869e+02,2.195316579804211243e-01
-1.156218855035487358e+01,5.714612868229369269e+02,2.546567232572884976e-01
-1.275913331896828851e+01,5.829263507719014115e+02,2.634379895765053270e-01
-9.104415091133436277e+00,5.892948988060652482e+02,2.107503916612042949e-01
-1.012011071988143840e+01,5.945199091070211352e+02,2.107503916612042949e-01
-1.274901142991999592e+01,5.914650987809600338e+02,2.722192558957222119e-01
-1.064029854037157996e+01,5.775290212698031382e+02,2.458754569380716681e-01
-1.010754259830482482e+01,5.876926100380018170e+02,2.195316579804211243e-01
-1.050395867415468487e+01,5.825814631960926135e+02,2.107503916612042949e-01
-1.316464012819967699e+01,5.709708602247731051e+02,1.931878590227705805e-01
-1.205981397265919419e+01,5.913190729425184600e+02,2.107503916612042949e-01
-1.092928725212063412e+01,5.754489250183181639e+02,3.161255874918064146e-01
-9.337347212179897937e+00,5.721202278406620962e+02,2.019691253419874377e-01
-1.134478703453823378e+01,5.857231848562478262e+02,1.756253263843368939e-01
-8.994738242351358437e+00,5.970185561840629589e+02,1.931878590227705805e-01
-9.101977265270942752e+00,5.887345495493735825e+02,1.756253263843368939e-01
-8.506309119876188873e+00,5.779610853648084685e+02,1.580627937459032073e-01
-9.648085087792598102e+00,5.896299926996451859e+02,2.283129242996379815e-01
-1.213253294586302289e+01,5.908540361531286180e+02,1.229377284690358341e-01
-1.111763660705612544e+01,6.048116567773242878e+02,3.249068538110232440e-01
-1.144972522247372204e+01,6.108124979728752351e+02,2.370941906188548109e-01
-9.589877504949274822e+00,6.055749841988701974e+02,2.019691253419874377e-01
-1.006595673999692231e+01,6.230872612387288427e+02,2.283129242996379815e-01
-9.314946005366396165e+00,5.998491684217927968e+02,2.458754569380716681e-01
-1.059712272191461757e+01,6.056558865515136176e+02,2.195316579804211243e-01
-1.225393282743727319e+01,6.167723605801413669e+02,2.019691253419874377e-01
-9.736884365270363162e+00,6.017696284151064674e+02,2.195316579804211243e-01
-1.195714221554687562e+01,6.244976588704649885e+02,1.931878590227705805e-01
-1.068946395299935581e+01,6.228359128807620664e+02,1.844065927035537511e-01
-1.020071183751215571e+01,6.013052611984202258e+02,1.668440600651200645e-01
-1.055294873352031360e+01,6.241178325939772549e+02,1.492815274266863779e-01
-8.845123261890391220e+00,6.103398450226924297e+02,1.405002611074695207e-01
-1.105202249001749770e+01,6.011272271431026866e+02,1.580627937459032073e-01
-1.071726958215167613e+01,6.033664652300643638e+02,1.844065927035537511e-01
-1.009079711887215502e+01,6.123503917715502212e+02,1.668440600651200645e-01
-1.132755983307647440e+01,6.189718179257715747e+02,2.019691253419874377e-01
-1.044775888581247436e+01,6.195603277121715564e+02,1.405002611074695207e-01
-1.064708916925995652e+01,6.213653337593274273e+02,1.580627937459032073e-01
-1.094520609598505168e+01,6.285584913261398015e+02,2.370941906188548109e-01
-1.061688001426876404e+01,6.428053074599553156e+02,2.107503916612042949e-01
-9.230674904062681208e+00,6.483841360997970469e+02,2.634379895765053270e-01
-8.457765006606651426e+00,6.380229110938599888e+02,2.370941906188548109e-01
-1.102684096793247370e+01,6.393962973289527554e+02,2.634379895765053270e-01
-8.829164030630392901e+00,6.369273272372223573e+02,2.019691253419874377e-01
-8.094289544780796319e+00,6.355962359334016583e+02,2.195316579804211243e-01
-1.073533766255183686e+01,6.257610933330321359e+02,1.931878590227705805e-01
